name,group,per_g,kcal,protein_g,fat_g,carbs_g,fiber_g,Fe_mg,Ca_mg,VitD_IU,B12_ug,Folate_ug,Iodine_ug,K_mg,Mg_mg,flags,price,source,version_date
spinach_raw,protein,100.0,23.0,2.9,0.4,3.6,2.2,2.7,99.0,0.0,0.0,194.0,20.0,558.0,79.0,DAIRY_FREE;GF;LOW_COST;VEG,0.0,"MERGED(OFF,USDA)",2025-09-05
chicken_breast,protein,100.0,165.0,31.0,3.6,0.0,0.0,0.7,15.0,28.0,0.3,6.0,7.0,256.0,27.0,,0.0,"MERGED(OFF,USDA)",2025-09-05
salmon,protein,100.0,208.0,20.0,13.0,0.0,0.0,0.3,9.0,526.0,2.8,25.0,30.0,490.0,30.0,,0.0,"MERGED(OFF,USDA)",2025-09-05
greek_yogurt,protein,100.0,59.0,10.0,0.4,3.6,0.0,0.1,110.0,5.0,0.9,12.0,5.0,141.0,11.0,,0.0,"MERGED(OFF,USDA)",2025-09-05
tofu,protein,100.0,76.0,8.0,4.8,1.9,0.3,2.7,350.0,0.0,0.0,25.0,0.0,121.0,35.0,DAIRY_FREE;GF;LOW_COST;VEG,0.0,"MERGED(OFF,USDA)",2025-09-05
lentils,protein,100.0,116.0,9.0,0.4,20.0,8.0,3.3,19.0,0.0,0.0,181.0,3.0,369.0,36.0,DAIRY_FREE;GF;LOW_COST;VEG,0.0,"MERGED(OFF,USDA)",2025-09-05
oats,protein,100.0,389.0,16.9,6.9,66.3,10.6,4.7,54.0,0.0,0.0,56.0,2.0,429.0,177.0,DAIRY_FREE;GF;LOW_COST;VEG,0.0,"MERGED(OFF,USDA)",2025-09-05
brown_rice,grain,100.0,111.0,2.6,0.9,23.0,1.8,0.4,10.0,0.0,0.0,9.0,1.0,79.0,44.0,DAIRY_FREE;GF;LOW_COST;VEG,0.0,"MERGED(OFF,USDA)",2025-09-05
olive_oil,fat,100.0,884.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,DAIRY_FREE;GF;LOW_COST;VEG,0.0,"MERGED(OFF,USDA)",2025-09-05
banana,grain,100.0,89.0,1.1,0.3,23.0,2.6,0.3,5.0,0.0,0.0,20.0,1.0,358.0,27.0,DAIRY_FREE;GF;LOW_COST;VEG,0.0,"MERGED(OFF,USDA)",2025-09-05
sorghum_grain,grain,100.0,339.0,11.3,3.3,74.6,6.7,4.4,28.0,0.0,0.0,20.0,2.0,363.0,165.0,,0.0,MERGED(CIQUAL),2025-09-05
fromage_blanc_0_mg,protein,100.0,48.0,11.4,0.1,3.1,0.0,0.3,98.0,8.0,0.4,8.0,7.0,133.0,10.0,,0.0,MERGED(CIQUAL),2025-09-05
sardine_canned_drained,protein,100.0,208.0,24.6,11.5,0.0,0.0,3.1,382.0,480.0,24.8,12.0,20.0,351.0,44.0,,0.0,MERGED(CIQUAL),2025-09-05
millet_grain,grain,100.0,378.0,11.0,4.2,73.0,8.5,3.0,11.0,0.0,0.0,21.0,2.0,195.0,114.0,,0.0,MERGED(CIQUAL),2025-09-05
amaranth_grain,protein,100.0,371.0,14.0,7.0,65.0,7.0,7.6,159.0,0.0,0.0,82.0,3.0,0.0,248.0,,0.0,MERGED(INFOODS),2025-09-05
teff_grain,grain,100.0,373.0,13.0,2.0,73.0,8.0,8.4,170.0,0.0,0.0,24.0,3.0,0.0,238.0,,0.0,MERGED(INFOODS),2025-09-05
legumes,protein,100.0,132.0,9.0,0.5,24.0,8.0,3.7,46.0,0.0,0.0,52.0,6.0,0.0,47.0,,0.0,MERGED(INFOODS),2025-09-05
cassava_leaf,protein,100.0,206.0,11.0,3.0,38.0,5.0,1.9,189.0,0.0,0.0,120.0,2.0,0.0,72.0,,0.0,MERGED(INFOODS),2025-09-05
