name,group,per_g,kcal,protein_g,fat_g,carbs_g,fiber_g,Fe_mg,Ca_mg,VitD_IU,B12_ug,Folate_ug,Iodine_ug,K_mg,Mg_mg,flags,price_per_unit,source,version_date
chicken_breast_boneless_skinless_raw,other,100.0,0.0,22.5,1.93,0.0,0.0,0.354,3.94,0.0,0.0,0.0,0.0,330.0,26.2,,0.0,MERGED(USDA),2025-09-04T23:26:46.236621
chicken_breast_meat_and_skin_raw,other,100.0,0.0,21.4,4.78,0.0,0.0,0.354,6.9,0.0,0.0,0.0,0.0,332.0,25.4,,0.0,MERGED(USDA),2025-09-04T23:26:46.236674
chicken_broiler_or_fryers_breast_skinless_boneless_meat_only_cooked_braised,other,100.0,0.0,32.1,3.24,0.0,0.0,0.49,6.0,0.0,0.0,0.921,0.0,343.0,32.0,,0.0,MERGED(USDA),2025-09-04T23:26:46.236709
chicken_ground_with_additives_raw,other,100.0,0.0,17.9,7.16,0.0,0.0,0.593,5.82,0.0,0.0,0.0,0.0,302.0,20.5,,0.0,MERGED(USDA),2025-09-04T23:26:46.236729
chicken_drumstick_meat_and_skin_raw,other,100.0,0.0,18.4,5.94,0.0,0.0,0.666,8.28,0.0,0.0,0.0,0.0,244.0,18.6,,0.0,MERGED(USDA),2025-09-04T23:26:46.236748
chicken_thigh_boneless_skinless_raw,other,100.0,0.0,18.6,7.92,0.0,0.0,0.602,5.65,0.0,0.0,0.0,0.0,272.0,21.8,,0.0,MERGED(USDA),2025-09-04T23:26:46.236765
chicken_thigh_meat_and_skin_raw,other,100.0,0.0,17.1,13.4,0.0,0.0,0.586,5.73,0.0,0.0,0.0,0.0,246.0,18.5,,0.0,MERGED(USDA),2025-09-04T23:26:46.236783
chicken_wing_meat_and_skin_raw,other,100.0,0.0,18.4,10.6,0.0,0.0,0.511,13.6,0.0,0.0,0.0,0.0,194.0,16.5,,0.0,MERGED(USDA),2025-09-04T23:26:46.236800
chicken_broilers_or_fryers_drumstick_meat_only_cooked_braised,other,100.0,0.0,23.9,5.95,0.0,0.0,0.94,12.0,0.1,0.0,0.372,0.0,239.0,22.4,,0.0,MERGED(USDA),2025-09-04T23:26:46.236816
chicken_breast_tenders_breaded_uncooked,other,100.0,0.0,14.7,15.8,0.0,1.1,1.11,19.0,0.2,0.0,0.041,0.0,214.0,23.0,,0.0,MERGED(USDA),2025-09-04T23:26:46.236833
chicken_breast_roll_oven_roasted,other,100.0,0.0,14.6,7.65,0.0,0.0,0.32,6.0,0.0,0.0,0.298,0.0,324.0,17.0,,0.0,MERGED(USDA),2025-09-04T23:26:46.236850
chicken_breast_tenders_breaded_cooked_microwaved,other,100.0,0.0,16.4,12.9,0.0,0.0,1.0,14.0,0.0,0.0,0.037,0.0,225.0,26.0,,0.0,MERGED(USDA),2025-09-04T23:26:46.236867
oscar_mayer_chicken_breast_honey_glazed,other,100.0,0.0,19.8,1.5,0.0,0.0,1.13,10.0,0.0,0.0,0.0,0.0,329.0,36.0,,0.0,MERGED(USDA),2025-09-04T23:26:46.236883
chicken_breast_deli_rotisserie_seasoned_sliced_prepackaged,other,100.0,0.0,17.4,1.86,0.0,0.0,0.39,11.0,0.1,0.0,0.445,0.0,360.0,26.0,,0.0,MERGED(USDA),2025-09-04T23:26:46.236900
chicken_breast_fat_free_mesquite_flavor_sliced,other,100.0,0.0,16.8,0.39,0.0,0.0,0.3,4.0,0.0,0.0,0.12,0.0,316.0,36.0,,0.0,MERGED(USDA),2025-09-04T23:26:46.236917
chicken_breast_oven_roasted_fat_free_sliced,other,100.0,0.0,16.8,0.39,0.0,0.0,0.32,6.0,0.0,0.0,0.15,0.0,67.0,9.0,,0.0,MERGED(USDA),2025-09-04T23:26:46.236933
chicken_broiler_rotisserie_bbq_breast_meat_and_skin,other,100.0,0.0,26.4,7.67,0.0,0.0,0.51,16.0,0.0,0.0,0.307,0.0,276.0,25.0,,0.0,MERGED(USDA),2025-09-04T23:26:46.236950
chicken_broiler_rotisserie_bbq_breast_meat_only,other,100.0,0.0,28.0,3.57,0.0,0.0,0.46,13.0,0.0,0.0,0.314,0.0,284.0,25.0,,0.0,MERGED(USDA),2025-09-04T23:26:46.236967
chicken_broilers_or_fryers_breast_meat_and_skin_raw,other,100.0,0.0,20.8,9.25,0.0,0.0,0.74,11.0,0.4,0.0,0.53,0.0,220.0,25.0,,0.0,MERGED(USDA),2025-09-04T23:26:46.236984
chicken_broilers_or_fryers_breast_meat_and_skin_cooked_roasted,other,100.0,0.0,29.8,7.78,0.0,0.0,1.07,14.0,0.1,0.0,0.56,0.0,245.0,27.0,,0.0,MERGED(USDA),2025-09-04T23:26:46.237000
chicken_broilers_or_fryers_breast_meat_and_skin_cooked_stewed,other,100.0,0.0,27.4,7.42,0.0,0.0,0.92,13.0,0.1,0.0,0.29,0.0,178.0,22.0,,0.0,MERGED(USDA),2025-09-04T23:26:46.237017
chicken_broilers_or_fryers_breast_meat_only_cooked_fried,other,100.0,0.0,33.4,4.71,0.0,0.0,1.14,16.0,0.1,0.0,0.64,0.0,276.0,31.0,,0.0,MERGED(USDA),2025-09-04T23:26:46.237033
