name,group,per_g,kcal,protein_g,fat_g,carbs_g,fiber_g,Fe_mg,Ca_mg,VitD_IU,B12_ug,Folate_ug,Iodine_ug,K_mg,Mg_mg,flags,price,source
spinach_raw,vegetable,100.0,23.0,2.9,0.4,3.6,2.2,2.7,99.0,0.0,0.0,194.0,20.0,558.0,79.0,DAIRY_FREE;GF;LOW_COST;VEG,0.0,MERGED(OFF,USDA)
chicken_breast,protein,100.0,165.0,31.0,3.6,0.0,0.0,0.7,15.0,28.0,0.3,6.0,7.0,256.0,27.0,OMNI;GF;LOW_COST,8.5,MERGED(OFF,USDA)
salmon,protein,100.0,208.0,20.0,13.0,0.0,0.0,0.3,9.0,526.0,2.8,25.0,30.0,490.0,30.0,OMNI;PESC,14.0,MERGED(OFF,USDA)
greek_yogurt,dairy,100.0,59.0,10.0,0.4,3.6,0.0,0.1,110.0,5.0,0.9,12.0,5.0,141.0,11.0,OMNI;VEG;GF,6.5,MERGED(OFF,USDA)
tofu,protein,100.0,76.0,8.0,4.8,1.9,0.3,2.7,350.0,0.0,0.0,25.0,0.0,121.0,35.0,DAIRY_FREE;GF;LOW_COST;VEG,7.0,MERGED(OFF,USDA)
lentils,legume,100.0,116.0,9.0,0.4,20.0,8.0,3.3,19.0,0.0,0.0,181.0,3.0,369.0,36.0,DAIRY_FREE;GF;LOW_COST;VEG,4.0,MERGED(OFF,USDA)
oats,grain,100.0,389.0,16.9,6.9,66.3,10.6,4.7,54.0,0.0,0.0,56.0,2.0,429.0,177.0,DAIRY_FREE;GF;LOW_COST;VEG,3.5,MERGED(OFF,USDA)
brown_rice,grain,100.0,111.0,2.6,0.9,23.0,1.8,0.4,10.0,0.0,0.0,9.0,1.0,79.0,44.0,DAIRY_FREE;GF;LOW_COST;VEG,3.0,MERGED(OFF,USDA)
olive_oil,fat,100.0,884.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,DAIRY_FREE;GF;LOW_COST;VEG,12.0,MERGED(OFF,USDA)
banana,fruit,100.0,89.0,1.1,0.3,23.0,2.6,0.3,5.0,0.0,0.0,20.0,1.0,358.0,27.0,DAIRY_FREE;GF;LOW_COST;VEG,2.5,MERGED(OFF,USDA)
egg,protein,100.0,155.0,13.0,11.0,1.1,0.0,1.8,56.0,87.0,1.1,44.0,12.0,138.0,12.0,OMNI;GF,2.0,MERGED(OFF,USDA)
potato,vegetable,100.0,77.0,2.0,0.1,17.0,2.2,0.8,12.0,0.0,0.0,16.0,2.0,421.0,23.0,VEG;GF;LOW_COST,1.5,MERGED(OFF,USDA)
milk,dairy,100.0,42.0,3.3,1.0,4.8,0.0,0.1,113.0,2.4,0.9,5.0,8.0,150.0,11.0,OMNI;GF,1.2,MERGED(OFF,USDA)
cheese,dairy,100.0,403.0,25.0,33.0,1.3,0.0,0.7,721.0,24.0,1.1,18.0,17.0,98.0,24.0,OMNI;GF,8.0,MERGED(OFF,USDA)
almonds,nuts,100.0,579.0,21.0,49.0,22.0,12.0,3.7,269.0,0.0,0.0,44.0,1.0,733.0,270.0,VEG;GF;LOW_COST,15.0,MERGED(OFF,USDA)
broccoli,vegetable,100.0,34.0,2.8,0.4,7.0,2.6,0.7,47.0,0.0,0.0,63.0,11.0,316.0,21.0,VEG;GF;LOW_COST,3.0,MERGED(OFF,USDA)
quinoa,grain,100.0,120.0,4.4,1.9,21.0,2.8,1.5,17.0,0.0,0.0,20.0,2.0,172.0,64.0,VEG;GF;LOW_COST,5.0,MERGED(OFF,USDA)
avocado,fruit,100.0,160.0,2.0,15.0,9.0,7.0,0.6,12.0,0.0,0.0,81.0,14.0,485.0,29.0,VEG;GF,4.0,MERGED(OFF,USDA)
beef_steak,protein,100.0,271.0,26.0,19.0,0.0,0.0,2.6,18.0,2.0,2.6,12.0,7.0,318.0,25.0,OMNI,16.0,MERGED(OFF,USDA)
yogurt_plain,dairy,100.0,59.0,10.0,0.4,3.6,0.0,0.1,110.0,0.0,0.9,12.0,5.0,141.0,11.0,OMNI;VEG;GF,6.5,MERGED(OFF,USDA)
